Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,-24.119445,0.0,-20.028946,0.0,51.04558,0.0,62.633058,0.0
0.000787,-24.119307,0.0,-20.028495,0.0,51.045404,-0.0,62.632936,-0.0
0.001573,-24.119159,0.0,-20.028006,0.0,51.045214,-0.0,62.632801,-0.0
0.00236,-24.119003,0.0,-20.027483,0.0,51.045011,-0.0,62.632651,-0.0
0.003146,-24.118841,0.0,-20.026928,1e-06,51.044799,-0.0,62.632488,-0.0
0.003933,-24.118675,1e-06,-20.026346,3e-06,51.044578,-1e-06,62.632312,-1e-06
0.004719,-24.118507,2e-06,-20.025741,7e-06,51.044351,-3e-06,62.632124,-2e-06
0.005506,-24.118339,4e-06,-20.025118,1.5e-05,51.044119,-6e-06,62.631925,-4e-06
0.006292,-24.118175,8e-06,-20.024481,2.7e-05,51.043885,-1e-05,62.631716,-8e-06
0.007079,-24.118017,1.4e-05,-20.023835,4.6e-05,51.043651,-1.8e-05,62.631501,-1.3e-05
0.007865,-24.117866,2.2e-05,-20.023184,7.2e-05,51.04342,-2.8e-05,62.63128,-2e-05
0.008652,-24.117726,3.3e-05,-20.022531,0.00011,51.043193,-4.2e-05,62.631056,-3.1e-05
0.009438,-24.117598,4.7e-05,-20.021879,0.000159,51.042973,-6.1e-05,62.630832,-4.6e-05
0.010225,-24.117483,6.6e-05,-20.021231,0.000224,51.042761,-8.6e-05,62.63061,-6.4e-05
0.011012,-24.117382,8.9e-05,-20.020588,0.000304,51.042559,-0.000117,62.630393,-8.8e-05
0.011798,-24.117295,0.000117,-20.019951,0.000404,51.04237,-0.000154,62.630184,-0.000118
0.012585,-24.117224,0.000151,-20.019321,0.000523,51.042193,-0.0002,62.629985,-0.000154
0.013371,-24.117167,0.00019,-20.018696,0.000663,51.042031,-0.000253,62.629799,-0.000196
0.014158,-24.117125,0.000234,-20.018078,0.000827,51.041885,-0.000314,62.629629,-0.000246
0.014944,-24.117097,0.000284,-20.017464,0.001013,51.041754,-0.000383,62.629477,-0.000303
0.015731,-24.117082,0.000339,-20.016854,0.001223,51.04164,-0.00046,62.629346,-0.000369
0.016517,-24.11708,0.0004,-20.016246,0.001457,51.041543,-0.000546,62.629237,-0.000441
0.017304,-24.11709,0.000464,-20.015639,0.001713,51.041462,-0.000639,62.629151,-0.000521
0.01809,-24.11711,0.000532,-20.015032,0.001991,51.041396,-0.000739,62.629091,-0.000609
0.018877,-24.117141,0.000603,-20.014424,0.00229,51.041346,-0.000844,62.629056,-0.000703
0.019663,-24.11718,0.000675,-20.013815,0.002608,51.041309,-0.000955,62.629048,-0.000803
0.02045,-24.117228,0.000749,-20.013205,0.002943,51.041285,-0.00107,62.629066,-0.000907
0.021237,-24.117282,0.000822,-20.012593,0.003292,51.041271,-0.001187,62.62911,-0.001016
0.022023,-24.117342,0.000894,-20.011982,0.003654,51.041265,-0.001305,62.629178,-0.001128
0.02281,-24.117408,0.000963,-20.011372,0.004025,51.041264,-0.001423,62.62927,-0.00124
0.023596,-24.117478,0.001028,-20.010766,0.004402,51.041267,-0.001539,62.629383,-0.001352
0.024383,-24.117551,0.001088,-20.010166,0.004783,51.041269,-0.001652,62.629515,-0.001463
0.025169,-24.117627,0.001142,-20.009575,0.005165,51.041268,-0.001759,62.629663,-0.001569
0.025956,-24.117705,0.001189,-20.008996,0.005544,51.041261,-0.00186,62.629825,-0.001671
0.026742,-24.117786,0.001227,-20.008433,0.005918,51.041243,-0.001953,62.629997,-0.001765
0.027529,-24.117868,0.001256,-20.007888,0.006284,51.041212,-0.002037,62.630177,-0.001849
0.028315,-24.117952,0.001276,-20.007366,0.006639,51.041164,-0.002109,62.630361,-0.001923
0.029102,-24.118038,0.001285,-20.00687,0.006981,51.041094,-0.002171,62.630546,-0.001985
0.029888,-24.118128,0.001283,-20.006402,0.007308,51.041,-0.002219,62.630729,-0.002032
0.030675,-24.118221,0.00127,-20.005967,0.007617,51.040879,-0.002255,62.630908,-0.002064
