Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,28.090501,0.0,-25.206258,0.0,-46.677668,0.0,-52.834498,0.0
0.000666,28.090601,0.0,-25.206556,-0.0,-46.677552,0.0,-52.834755,-0.0
0.001331,28.090711,0.0,-25.206866,-0.0,-46.677425,0.0,-52.835031,-0.0
0.001997,28.090831,0.0,-25.207184,-0.0,-46.677287,0.0,-52.835326,-0.0
0.002662,28.090963,0.0,-25.207507,-0.0,-46.677138,0.0,-52.835638,-0.0
0.003328,28.091105,0.0,-25.207833,-1e-06,-46.676977,0.0,-52.835965,-1e-06
0.003993,28.091258,1e-06,-25.208156,-3e-06,-46.676806,1e-06,-52.836305,-2e-06
0.004659,28.091422,2e-06,-25.208473,-5e-06,-46.676625,2e-06,-52.836656,-5e-06
0.005324,28.091597,3e-06,-25.20878,-9e-06,-46.676435,4e-06,-52.837014,-9e-06
0.00599,28.091783,6e-06,-25.209073,-1.6e-05,-46.676237,7e-06,-52.837377,-1.5e-05
0.006655,28.091979,9e-06,-25.209349,-2.6e-05,-46.676031,1.1e-05,-52.837742,-2.3e-05
0.007321,28.092185,1.5e-05,-25.209605,-3.9e-05,-46.675818,1.7e-05,-52.838105,-3.6e-05
0.007986,28.092401,2.1e-05,-25.209837,-5.6e-05,-46.675599,2.5e-05,-52.838464,-5.2e-05
0.008652,28.092626,3.1e-05,-25.210044,-7.9e-05,-46.675376,3.5e-05,-52.838815,-7.4e-05
0.009317,28.09286,4.3e-05,-25.210223,-0.000108,-46.675148,4.9e-05,-52.839156,-0.000102
0.009983,28.0931,5.8e-05,-25.210374,-0.000144,-46.674918,6.6e-05,-52.839484,-0.000137
0.010649,28.093348,7.6e-05,-25.210495,-0.000187,-46.674685,8.6e-05,-52.839796,-0.00018
0.011314,28.093601,9.9e-05,-25.210587,-0.000237,-46.67445,0.000112,-52.84009,-0.000231
0.01198,28.093858,0.000126,-25.210649,-0.000296,-46.674215,0.000142,-52.840365,-0.000291
0.012645,28.094117,0.000159,-25.210683,-0.000363,-46.673979,0.000178,-52.840619,-0.000361
0.013311,28.094378,0.000196,-25.21069,-0.000438,-46.673743,0.000219,-52.840849,-0.000442
0.013976,28.094637,0.000239,-25.210671,-0.000522,-46.673508,0.000266,-52.841055,-0.000533
0.014642,28.094895,0.000289,-25.210628,-0.000613,-46.673274,0.000319,-52.841236,-0.000634
0.015307,28.095148,0.000345,-25.210563,-0.000712,-46.673042,0.000379,-52.841389,-0.000746
0.015973,28.095395,0.000407,-25.210479,-0.000818,-46.672811,0.000446,-52.841515,-0.000869
0.016638,28.095634,0.000476,-25.210379,-0.00093,-46.672582,0.000519,-52.841613,-0.001002
0.017304,28.095864,0.000552,-25.210264,-0.001046,-46.672356,0.000599,-52.841682,-0.001145
0.017969,28.096083,0.000635,-25.210137,-0.001166,-46.672132,0.000686,-52.841722,-0.001296
0.018635,28.09629,0.000725,-25.210002,-0.001288,-46.67191,0.000779,-52.841734,-0.001455
0.0193,28.096484,0.000822,-25.209861,-0.001411,-46.671691,0.000879,-52.841717,-0.001621
0.019966,28.096665,0.000925,-25.209717,-0.001533,-46.671475,0.000984,-52.841673,-0.001792
0.020632,28.096831,0.001035,-25.209571,-0.001653,-46.67126,0.001095,-52.841602,-0.001967
0.021297,28.096982,0.00115,-25.209427,-0.001768,-46.671048,0.001211,-52.841506,-0.002144
0.021963,28.097119,0.001271,-25.209287,-0.001878,-46.670838,0.001332,-52.841386,-0.002322
0.022628,28.09724,0.001396,-25.209152,-0.001981,-46.670629,0.001457,-52.841244,-0.002499
0.023294,28.097346,0.001526,-25.209026,-0.002074,-46.670422,0.001585,-52.841082,-0.002672
0.023959,28.097438,0.001658,-25.208911,-0.002157,-46.670216,0.001716,-52.840903,-0.002841
0.024625,28.097515,0.001794,-25.208807,-0.002228,-46.67001,0.001849,-52.840709,-0.003002
0.02529,28.097578,0.00193,-25.208716,-0.002286,-46.669805,0.001983,-52.840503,-0.003155
0.025956,28.097627,0.002068,-25.208641,-0.00233,-46.669599,0.002118,-52.840287,-0.003296
0.026621,28.097663,0.002205,-25.208581,-0.002358,-46.669393,0.002252,-52.840065,-0.003425
0.027287,28.097686,0.00234,-25.208538,-0.002371,-46.669185,0.002386,-52.83984,-0.003539
0.027952,28.097696,0.002473,-25.208512,-0.002367,-46.668975,0.002518,-52.839613,-0.003636
0.028618,28.097695,0.002602,-25.208504,-0.002347,-46.668763,0.002647,-52.839388,-0.003716
0.029283,28.097683,0.002727,-25.208513,-0.00231,-46.668547,0.002774,-52.839167,-0.003776
0.029949,28.09766,0.002845,-25.208539,-0.002256,-46.668327,0.002897,-52.838951,-0.003815
0.030615,28.097628,0.002956,-25.20858,-0.002187,-46.668102,0.003015,-52.838744,-0.003832
0.03128,28.097587,0.00306,-25.208637,-0.002101,-46.667872,0.003128,-52.838546,-0.003827
0.031946,28.097538,0.003154,-25.208706,-0.002001,-46.667635,0.003237,-52.838359,-0.003799
0.032611,28.097481,0.003238,-25.208786,-0.001887,-46.667392,0.003339,-52.838184,-0.003747
0.033277,28.097419,0.003311,-25.208875,-0.001761,-46.667141,0.003435,-52.838023,-0.003671
0.033942,28.097352,0.003373,-25.208969,-0.001624,-46.666881,0.003524,-52.837876,-0.003572
0.034608,28.097281,0.003422,-25.209067,-0.001477,-46.666613,0.003607,-52.837744,-0.003449
0.035273,28.097207,0.003458,-25.209165,-0.001323,-46.666334,0.003683,-52.837628,-0.003304
0.035939,28.097131,0.00348,-25.209261,-0.001162,-46.666046,0.003752,-52.837528,-0.003136
0.036604,28.097055,0.003488,-25.20935,-0.000997,-46.665747,0.003813,-52.837444,-0.002948
0.03727,28.096979,0.003481,-25.209431,-0.000829,-46.665438,0.003868,-52.837377,-0.002741
0.037935,28.096905,0.00346,-25.209501,-0.000661,-46.665118,0.003917,-52.837326,-0.002515
0.038601,28.096835,0.003424,-25.209558,-0.000494,-46.664787,0.003958,-52.837293,-0.002273
0.039266,28.096768,0.003374,-25.209599,-0.000329,-46.664445,0.003994,-52.837275,-0.002016
0.039932,28.096706,0.003309,-25.209623,-0.00017,-46.664094,0.004024,-52.837274,-0.001748
0.040598,28.09665,0.00323,-25.209628,-1.6e-05,-46.663733,0.004048,-52.837288,-0.001468
0.041263,28.096601,0.003137,-25.209615,0.00013,-46.663365,0.004067,-52.837316,-0.001181
0.041929,28.09656,0.00303,-25.209583,0.000267,-46.66299,0.004082,-52.837359,-0.000888
0.042594,28.096527,0.002911,-25.209531,0.000395,-46.662609,0.004093,-52.837415,-0.000591
0.04326,28.096504,0.00278,-25.20946,0.000511,-46.662226,0.004101,-52.837483,-0.000293
0.043925,28.096491,0.002637,-25.209371,0.000616,-46.661841,0.004106,-52.837561,4e-06
