Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,11.87409,0.0,-30.047738,0.0,-50.527799,0.0,-56.180693,0.0
0.000777,11.878708,0.0,-30.052232,-0.0,-50.528993,-0.0,-56.181393,-0.0
0.001553,11.883916,0.0,-30.057435,-1e-06,-50.530285,-0.0,-56.18214,-0.0
0.00233,11.889729,0.0,-30.063385,-4e-06,-50.531669,-1e-06,-56.182929,-1e-06
0.003106,11.896156,1e-06,-30.07012,-1.2e-05,-50.533136,-3e-06,-56.183752,-2e-06
0.003883,11.9032,2e-06,-30.07767,-3.3e-05,-50.534675,-8e-06,-56.184601,-5e-06
0.004659,11.910861,5e-06,-30.086063,-7.5e-05,-50.536277,-1.9e-05,-56.185468,-1.1e-05
0.005436,11.919133,1e-05,-30.095319,-0.000151,-50.537929,-3.7e-05,-56.186343,-2.2e-05
0.006212,11.928009,1.9e-05,-30.105458,-0.000278,-50.539619,-6.8e-05,-56.187217,-3.9e-05
0.006989,11.93748,3.4e-05,-30.116493,-0.000477,-50.541336,-0.000115,-56.188084,-6.6e-05
0.007765,11.947535,5.7e-05,-30.128436,-0.000771,-50.543066,-0.000183,-56.188934,-0.000105
0.008542,11.958163,8.9e-05,-30.141296,-0.001187,-50.544796,-0.000278,-56.189761,-0.000159
0.009318,11.969355,0.000136,-30.155078,-0.001756,-50.546516,-0.000404,-56.190561,-0.00023
0.010095,11.981102,0.000199,-30.169784,-0.00251,-50.548211,-0.000567,-56.191328,-0.000321
0.010872,11.993394,0.000284,-30.185413,-0.003483,-50.549871,-0.000773,-56.192059,-0.000436
0.011648,12.006225,0.000395,-30.20196,-0.004711,-50.551483,-0.001026,-56.192753,-0.000576
0.012425,12.019589,0.000536,-30.219414,-0.00623,-50.553035,-0.001331,-56.193407,-0.000744
0.013201,12.033482,0.000715,-30.237762,-0.008077,-50.554516,-0.001691,-56.194022,-0.00094
0.013978,12.047899,0.000936,-30.256983,-0.010288,-50.555912,-0.00211,-56.194596,-0.001167
0.014754,12.062838,0.001207,-30.277054,-0.012897,-50.557214,-0.002588,-56.19513,-0.001424
0.015531,12.078295,0.001535,-30.297946,-0.015938,-50.558409,-0.003127,-56.195624,-0.001711
0.016307,12.09427,0.001926,-30.319629,-0.01944,-50.559487,-0.003727,-56.196078,-0.002027
0.017084,12.11076,0.002389,-30.34207,-0.023432,-50.560438,-0.004385,-56.196493,-0.002371
0.01786,12.127766,0.002932,-30.365234,-0.027937,-50.561252,-0.005099,-56.196866,-0.00274
0.018637,12.145285,0.003563,-30.389085,-0.032976,-50.561921,-0.005864,-56.197198,-0.003132
0.019413,12.163317,0.00429,-30.413589,-0.038564,-50.562437,-0.006676,-56.197488,-0.003543
0.02019,12.181861,0.005122,-30.438707,-0.044713,-50.562792,-0.007527,-56.197733,-0.00397
0.020967,12.200913,0.006069,-30.464405,-0.051429,-50.56298,-0.00841,-56.197931,-0.004408
0.021743,12.220472,0.007138,-30.490646,-0.058714,-50.562996,-0.009315,-56.198077,-0.004852
0.02252,12.240531,0.008338,-30.517391,-0.066564,-50.562834,-0.010233,-56.198168,-0.005298
0.023296,12.261086,0.009679,-30.544604,-0.074971,-50.562489,-0.011154,-56.198199,-0.005739
0.024073,12.282129,0.011168,-30.572244,-0.083921,-50.561957,-0.012065,-56.198162,-0.006172
