Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,27.427824,0.0,8.411739,0.0,-39.349642,0.0,-48.397613,0.0
0.001044,27.42787,0.0,8.4116,-0.0,-39.349549,0.0,-48.397744,-0.0
0.002087,27.427914,0.0,8.411443,-0.0,-39.349444,0.0,-48.397878,-0.0
0.003131,27.427951,0.0,8.411268,-0.0,-39.349327,0.0,-48.398009,-0.0
0.004174,27.42798,0.0,8.411077,-1e-06,-39.349198,1e-06,-48.398134,-1e-06
0.005218,27.427996,1e-06,8.410874,-3e-06,-39.349058,2e-06,-48.398245,-3e-06
0.006261,27.427997,2e-06,8.410659,-6e-06,-39.348907,4e-06,-48.398339,-6e-06
0.007305,27.427978,3e-06,8.410437,-1.3e-05,-39.348746,8e-06,-48.398408,-1.1e-05
0.008348,27.427938,6e-06,8.410211,-2.3e-05,-39.348574,1.5e-05,-48.398449,-1.9e-05
0.009392,27.427873,9e-06,8.409982,-3.8e-05,-39.348392,2.5e-05,-48.398458,-3e-05
0.010436,27.427783,1.3e-05,8.409753,-5.9e-05,-39.348201,3.9e-05,-48.398433,-4.5e-05
0.011479,27.427667,1.8e-05,8.409526,-8.7e-05,-39.348001,5.9e-05,-48.398372,-6.5e-05
0.012523,27.427527,2.4e-05,8.409302,-0.000124,-39.347794,8.4e-05,-48.398275,-8.9e-05
0.013566,27.427366,2.9e-05,8.409081,-0.000171,-39.34758,0.000117,-48.398144,-0.000118
0.01461,27.427186,3.4e-05,8.408864,-0.000227,-39.347362,0.000156,-48.397981,-0.000149
0.015653,27.426993,3.7e-05,8.408651,-0.000294,-39.347139,0.000204,-48.39779,-0.000184
0.016697,27.42679,3.7e-05,8.408441,-0.000372,-39.346915,0.00026,-48.397574,-0.000219
0.01774,27.426584,3.4e-05,8.408234,-0.00046,-39.34669,0.000325,-48.397338,-0.000254
0.018784,27.426378,2.6e-05,8.40803,-0.000559,-39.346467,0.000398,-48.397087,-0.000286
0.019827,27.426177,1.2e-05,8.407826,-0.000666,-39.346246,0.00048,-48.396824,-0.000313
0.020871,27.425985,-1e-05,8.407624,-0.000782,-39.346029,0.00057,-48.396555,-0.000333
0.021915,27.425805,-3.9e-05,8.407421,-0.000904,-39.345818,0.000668,-48.396283,-0.000344
0.022958,27.425641,-7.9e-05,8.407219,-0.001031,-39.345613,0.000772,-48.396012,-0.000343
0.024002,27.425494,-0.000128,8.407017,-0.001162,-39.345416,0.000882,-48.395744,-0.000328
0.025045,27.425367,-0.000187,8.406814,-0.001293,-39.345227,0.000997,-48.395484,-0.000297
0.026089,27.425264,-0.000257,8.40661,-0.001425,-39.345046,0.001115,-48.395235,-0.000249
0.027132,27.425185,-0.000337,8.406407,-0.001554,-39.344873,0.001235,-48.394998,-0.000184
0.028176,27.425134,-0.000425,8.406205,-0.001679,-39.344706,0.001355,-48.394778,-0.0001
0.029219,27.425114,-0.000522,8.406004,-0.001799,-39.344545,0.001474,-48.394576,3e-06
0.030263,27.425126,-0.000624,8.405806,-0.001911,-39.344386,0.001591,-48.394396,0.000123
0.031307,27.425176,-0.000731,8.405612,-0.002016,-39.344226,0.001703,-48.39424,0.000259
0.03235,27.425264,-0.00084,8.405424,-0.00211,-39.34406,0.001809,-48.394112,0.000409
0.033394,27.425396,-0.000949,8.405243,-0.002195,-39.343885,0.001909,-48.394013,0.000572
0.034437,27.425574,-0.001054,8.405071,-0.002269,-39.343694,0.001999,-48.393946,0.000745
0.035481,27.425801,-0.001153,8.40491,-0.002332,-39.343482,0.002081,-48.393914,0.000924
0.036524,27.42608,-0.001242,8.404761,-0.002383,-39.343245,0.002151,-48.393918,0.001106
0.037568,27.426413,-0.001319,8.404624,-0.002423,-39.342976,0.002211,-48.393959,0.001287
0.038611,27.426801,-0.00138,8.404501,-0.002452,-39.34267,0.00226,-48.394038,0.001464
0.039655,27.427244,-0.001423,8.404391,-0.00247,-39.342325,0.002298,-48.394152,0.001633
0.040699,27.42774,-0.001444,8.404293,-0.002477,-39.341936,0.002324,-48.3943,0.001789
0.041742,27.428284,-0.001441,8.404205,-0.002474,-39.341502,0.002342,-48.394477,0.00193
0.042786,27.428869,-0.00141,8.404125,-0.00246,-39.341024,0.00235,-48.394677,0.002051
0.043829,27.429485,-0.001351,8.404051,-0.002437,-39.340503,0.002352,-48.394893,0.00215
0.044873,27.430122,-0.00126,8.403979,-0.002404,-39.339945,0.002348,-48.395116,0.002223
0.045916,27.430765,-0.001137,8.403907,-0.002363,-39.339353,0.002342,-48.395337,0.002268
0.04696,27.431403,-0.00098,8.403832,-0.002312,-39.338736,0.002336,-48.395546,0.002284
0.048003,27.432021,-0.000788,8.403751,-0.002253,-39.3381,0.002333,-48.395734,0.002268
0.049047,27.43261,-0.000561,8.403661,-0.002185,-39.337455,0.002335,-48.395893,0.002219
0.050091,27.433158,-0.0003,8.403561,-0.00211,-39.336808,0.002346,-48.396017,0.002139
0.051134,27.433661,-5e-06,8.40345,-0.002026,-39.33617,0.002368,-48.396102,0.002027
0.052178,27.434112,0.00032,8.403325,-0.001936,-39.335547,0.002404,-48.396143,0.001885
0.053221,27.434509,0.000673,8.403188,-0.001839,-39.33495,0.002455,-48.39614,0.001715
0.054265,27.43485,0.001052,8.403039,-0.001736,-39.334387,0.002524,-48.396093,0.00152
0.055308,27.435136,0.00145,8.402879,-0.001628,-39.333865,0.002612,-48.396004,0.001304
0.056352,27.435368,0.001864,8.402711,-0.001516,-39.333393,0.002718,-48.395874,0.00107
0.057395,27.435547,0.002287,8.402537,-0.001401,-39.332974,0.002842,-48.395708,0.000824
0.058439,27.435676,0.002713,8.402358,-0.001283,-39.332614,0.002983,-48.39551,0.000571
0.059482,27.435758,0.003135,8.402178,-0.001165,-39.332316,0.00314,-48.395286,0.000317
0.060526,27.435796,0.003546,8.401997,-0.001048,-39.332079,0.003308,-48.395042,6.7e-05
0.06157,27.435794,0.00394,8.401817,-0.000933,-39.331903,0.003485,-48.394785,-0.000174
0.062613,27.435755,0.004308,8.40164,-0.00082,-39.331784,0.003666,-48.394524,-0.000399
0.063657,27.435685,0.004645,8.401466,-0.000712,-39.331721,0.003846,-48.394268,-0.000603
0.0647,27.435586,0.004944,8.401296,-0.00061,-39.331709,0.00402,-48.394026,-0.000783
0.065744,27.435465,0.005199,8.40113,-0.000514,-39.331742,0.004181,-48.393807,-0.000933
0.066787,27.435326,0.005406,8.400969,-0.000425,-39.331818,0.004324,-48.393621,-0.001051
0.067831,27.435174,0.00556,8.400812,-0.000343,-39.331931,0.004444,-48.393476,-0.001135
