Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredAngle
0.120111,119,111,0.13382339490187042,0.23752232813821164,1.9868536193759672,-0.10044,118
0.120876,118,111,0.12707131883730155,0.2380219278672654,2.038293853303556,-0.102918,118
0.121641,118,111,0.12014255273200185,0.23849659775720605,2.08972512862846,-0.105426,118
0.122406,118,111,0.11303583759181228,0.23894653490466058,2.1408870100872126,-0.107964,118
0.123171,118,111,0.10575491536253202,0.23937193048922917,2.1913845647527643,-0.110529,117
0.123936,117,111,0.09830152900485445,0.2397729801961444,2.2410858321271,-0.113118,117
0.12470099999999999,117,111,0.09068042256927288,0.24014986899008886,2.2894644562547386,-0.115728,117
0.12546600000000002,116,111,0.07495703156469523,0.2408319128208831,2.3815840400382644,-0.120994,116
0.126231,116,111,0.07495703156469523,0.2408319128208831,2.3815840400382644,-0.120994,116
0.12699600000000003,116,111,0.058642719393001044,0.241419562031103,2.4652170617074565,-0.126294,116
0.127761,116,111,0.058642719393001044,0.241419562031103,2.4652170617074565,-0.126294,115
0.128526,115,111,0.05028621670669539,0.24167847080020086,2.502985111729837,-0.128945,115
0.12929200000000002,115,111,0.033227279001623804,0.2421275219696367,2.5706469231798232,-0.13422,115
0.130057,115,111,0.033227279001623804,0.2421275219696367,2.5706469231798232,-0.13422,114
0.13082200000000002,114,111,0.015780465158658812,0.24248650677358055,2.626143790480156,-0.139423,114
0.131587,114,111,0.015780465158658812,0.24248650677358055,2.626143790480156,-0.139423,114
0.13235200000000003,114,111,-0.0019621596238320986,0.24275777561906936,2.669800479187833,-0.144508,114
0.133117,114,111,-0.0019621596238320986,0.24275777561906936,2.669800479187833,-0.144508,113
0.133882,113,111,-0.010916372471201918,0.24286142306759007,2.6875604386192795,-0.14699,113
0.13464700000000002,113,111,-0.028942774100202403,0.24300702990721545,2.715301046325301,-0.151805,113
0.135412,113,111,-0.028942774100202403,0.24300702990721545,2.715301046325301,-0.151805,112
0.13617700000000002,112,111,-0.047063685249467704,0.24307425556641962,2.7340614612746132,-0.156378,112
0.136942,112,111,-0.047063685249467704,0.24307425556641962,2.7340614612746132,-0.156378,112
0.13770700000000002,111,111,-0.06521992395530432,0.24306900136415607,2.7456288726307396,-0.160661,111
0.138472,111,111,-0.06521992395530432,0.24306900136415607,2.7456288726307396,-0.160661,111
0.139237,111,111,-0.07429634882107372,0.2430415068691881,2.7490475056831345,-0.162678,111
0.14000200000000002,110,111,-0.09241690293310922,0.24294253034888577,2.751786915596792,-0.166431,110
0.140767,110,111,-0.09241690293310922,0.24294253034888577,2.751786915596792,-0.166431,110
0.14153200000000002,110,111,-0.11046315659244406,0.24279424964478627,2.748298312916137,-0.169769,110
0.142297,110,111,-0.11046315659244406,0.24279424964478627,2.748298312916137,-0.169769,109
0.14306200000000002,109,111,-0.1283827836440646,0.2426100606079717,2.7371034312689604,-0.172641,109
0.143827,109,111,-0.1283827836440646,0.2426100606079717,2.7371034312689604,-0.172641,109
0.144592,109,111,-0.1372761227458998,0.24250937097894493,2.7281763256861615,-0.173887,108
0.14535700000000001,108,111,-0.15488484715104578,0.24230179246602956,2.701535256335288,-0.175971,108
0.146122,108,111,-0.15488484715104578,0.24230179246602956,2.701535256335288,-0.175971,108
0.14688700000000002,107,111,-0.1721789238268746,0.24210193406933428,2.662593036545101,-0.177473,107
0.147652,107,111,-0.1721789238268746,0.24210193406933428,2.662593036545101,-0.177473,107
0.14841700000000002,107,111,-0.1890618567560738,0.24192995243404192,2.609309869762809,-0.17835,107
