Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredAngle
0,131,131,0.002543349229259914,0.0015773961171896304,135,128,131
0.001044,131,131,0.0024933345633699157,0.0015827815376157873,136,128,131
0.002087,131,131,0.0024255247323767496,0.0015870045254404827,138,128,131
0.003131,131,131,0.002339905452410266,0.0015902286992239298,140,128,131
0.004174,131,131,0.002238462357576131,0.0015926186628369603,141,128,131
0.005218,131,131,0.0021251810051223334,0.0015943336684168083,143,128,131
0.006261,131,131,0.002000046880683223,0.0015955219604088116,144,128,131
0.007305,131,131,0.0018680454035598596,0.0015963160590725107,144,128,131
0.008348,131,131,0.0017321619320777243,0.0015968292748956062,145,128,131
0.009392,130,131,0.0015933817689793804,0.0015971537691412106,145,128,130
0.010436,130,131,0.0014546901668834125,0.0015973570113683659,145,128,130
0.011479,130,131,0.0013180723337657002,0.001597491185021932,145,128,130
0.012523,130,131,0.001184513438510805,0.0015975902606372196,144,128,130
0.013566,130,131,0.0010539986164818187,0.0015976802893742303,144,128,130
0.01461,130,131,0.0009275129751362211,0.0015977857207953954,144,128,130
0.015653,130,131,0.0008050415996860187,0.00159793582559254,144,128,130
0.016697,130,131,0.0006855695587690988,0.0015981766956439146,143,128,130
0.01774,130,131,0.0005690819101763804,0.001598579572141469,143,128,130
0.018784,130,131,0.00045556370657803586,0.0015992527533387,143,128,130
0.019827,130,131,0.00034200000128705056,0.001600348230532977,143,128,130
0.020871,130,131,0.00023037585403871808,0.001602065655670404,143,128,130
0.021915,130,131,0.00011767633678720942,0.0016046592530580476,143,128,130
0.022958,130,131,0.00000588653951825503,0.0016084216552867672,143,128,130
0.024002,130,131,-0.00010600842393576756,0.0016136828656486627,143,128,130
0.025045,130,131,-0.00021902341006202684,0.0016207872467125673,143,128,130
0.026089,130,131,-0.00033317323984127366,0.0016300428686263566,144,128,130
0.027132,130,131,-0.00044647269291329315,0.0016417279715094215,143,128,130
0.028176,130,131,-0.0005589365017457417,0.0016560252329425582,143,128,130
0.029219,130,131,-0.0006705793458154425,0.0016730301379517783,143,128,130
0.030263,130,131,-0.0007794158457786359,0.0016927142871681078,143,128,130
0.031307,130,131,-0.00088446055767465,0.0017149578343668096,143,128,130
0.03235,130,131,-0.0009837279671257506,0.0017395390908544314,142,128,130
0.033394,130,131,-0.0010762324835696178,0.0017661510485108677,141,128,130
0.034437,130,131,-0.001159988434502706,0.001794436226575168,140,128,130
0.035481,130,131,-0.0012330100597494045,0.0018239733370180827,139,128,130
0.036524,130,131,-0.001294311505761172,0.001854341398986338,138,128,130
0.037568,130,131,-0.0013439068199422976,0.0018851054840995083,137,128,130
0.038611,130,131,-0.001379809944994592,0.0019158268636741665,136,128,130
0.039655,130,131,-0.0014030347133235812,0.0019461102753969312,134,128,130
0.040699,130,131,-0.001414594841470533,0.0019755585567050675,133,128,130
0.041742,130,131,-0.0014165039245769657,0.002003816873459577,132,128,130
0.042786,130,131,-0.001410775430907551,0.0020305755814484174,132,128,130
0.043829,130,131,-0.00139942269640908,0.0020555606450830435,131,128,130
0.044873,130,131,-0.0013864589193219755,0.002078547421921113,131,128,130
0.045916,130,131,-0.0013738971548411636,0.0020993612870104763,131,128,130
0.04696,130,131,-0.0013647503098430018,0.0021178875421942423,132,128,130
0.048003,130,131,-0.0013620311376490084,0.002134068997139504,133,128,130
0.049047,130,131,-0.0013687522328722477,0.002147895073892957,134,128,130
0.050091,130,131,-0.0013859260263080493,0.0021594093748153738,135,128,130
0.051134,130,131,-0.0014145647799034314,0.0021687202323403434,136,128,130
0.052178,130,131,-0.0014576805817795291,0.0021759795093203777,137,128,130
0.053221,130,131,-0.0015132853413411126,0.002181394437081812,138,128,130
0.054265,130,131,-0.0015813907844438807,0.002185205413713139,140,128,130
0.055308,130,131,-0.0016610084486518403,0.002187681851911499,141,128,130
0.056352,130,131,-0.0017491496785646088,0.0021891186957794387,141,128,130
0.057395,130,131,-0.0018438256212178475,0.0021898096030260467,142,128,130
0.058439,130,131,-0.0019440472215806988,0.002190034513910857,142,128,130
0.059482,130,131,-0.0020458252181189763,0.0021900525206655663,142,128,130
0.060526,130,131,-0.0021491701384635997,0.002190087031261103,143,128,130
0.06157,130,131,-0.0022520922951619646,0.002190320761847321,142,128,130
0.062613,130,131,-0.002352601781514914,0.0021908932817340473,142,128,130
0.063657,130,131,-0.0024507084675208686,0.0021918995084929858,142,128,130
0.0647,130,131,-0.0025454219958947703,0.002193394684298676,142,128,130
0.065744,130,131,-0.002636751778208988,0.002195398613704941,141,128,130
0.066787,130,131,-0.0027237069911073023,0.0021979034388576874,141,128,130
0.067831,130,131,-0.002807296572638484,0.002200875491475506,140,128,130
0.068874,130,131,-0.002887529218693667,0.002204263400311232,140,128,130
0.069918,130,131,-0.0029644133795387623,0.0022080114106373516,140,128,130
0.070962,130,131,-0.003037957256460075,0.0022120562274972793,139,128,130
0.072005,130,131,-0.003109168798509265,0.0022163347892169773,139,128,130
0.073049,130,131,-0.0031760556993723657,0.0022207919810364224,139,128,130
0.074092,130,131,-0.003240625394343204,0.0022253785764559594,138,128,130
0.075136,130,131,-0.0033018850574172195,0.002230057463226068,138,128,130
0.076179,130,131,-0.003359841598484824,0.002234800050347664,138,128,130
0.077223,130,131,-0.0034135016606556463,0.0022395915487614156,137,128,130
0.078266,130,131,-0.003462871617692626,0.002244417079457297,137,128,130
0.07931,130,131,-0.0035069575715678974,0.0022492855092986004,136,128,130
