Time,Raw Angle,Low Frequency Carrier,Tremor,Envelope,Torque,WFE Displacement,centeredTorque
13.503565,8.381043,8.382592750365522,-0.0004170388196768939,0.002010146103135078,-0.0067904650802959815,0.004046,125
13.504609,8.381125,8.382626819956215,-0.00039719534521902,0.002009175216531867,-0.008819157443761204,0.004107,123
13.505652,8.381219,8.382661053909025,-0.00036583045566267565,0.002007877993804779,-0.011530558627662026,0.004156,122
13.506696,8.381329,8.382695451640933,-0.0003189386641441314,0.0020062985581515776,-0.015024490109095371,0.004191,120
13.507739,8.381459,8.382730012557008,-0.0002525143637091173,0.002004494977217503,-0.019017467215033383,0.004212,118
13.508783,8.38161,8.382764736050552,-0.00016555182929234535,0.0020025445761464155,-0.023318837853656547,0.004218,116
13.509826,8.381784,8.382799621503228,-0.00005604521973131387,0.0020005422511815683,-0.027930601011828336,0.00421,114
13.51087,8.381982,8.3828346682852,0.0000770114201919119,0.0019985896285925524,-0.032566278008784345,0.004187,111
13.511914,8.382203,8.382869875755269,0.00023262415766696717,0.001996795206564847,-0.0368415675467092,0.00415,109
13.512957,8.382444,8.382905243261005,0.0004077991697595112,0.00199526299124817,-0.04046599875938649,0.0041,107
13.514001,8.382701,8.382940770138894,0.0005985427412807867,0.001994080690750683,-0.043243929193909916,0.004039,106
13.515044,8.382969,8.382976455714473,0.0007998612626223512,0.0019933238724768113,-0.04497871826690922,0.003969,105
13.516088,8.383242,8.383012299302473,0.0010057612275930902,0.0019930383451193115,-0.04556855384275325,0.003891,105
13.517131,8.383514,8.383048300206955,0.0012102492312071093,0.001993237124088587,-0.04481579720113905,0.003808,105
13.518175,8.383777,8.383084457721449,0.001405331967476994,0.001993906290052245,-0.042904119804801286,0.003722,106
13.519218,8.384027,8.383120771129098,0.0015870162271678326,0.001995000088735269,-0.04002118522097881,0.003635,107
13.520262,8.384258,8.383157239702808,0.0017493088955504604,0.0019964453636059907,-0.03616100803116015,0.003551,109
13.521306,8.384466,8.383193862705383,0.0018882169501193153,0.0019981417686609436,-0.0317029051566302,0.00347,112
13.522349,8.384649,8.383230639389676,0.0020017474583309265,0.001999980590023101,-0.026740710002339452,0.003395,114
13.523393,8.384804,8.383267568998729,0.0020869075752997283,0.0020018372996296265,-0.021367258079529532,0.003328,117
13.524436,8.38493,8.383304650765913,0.002142704541494226,0.0020035836719389157,-0.015869034046941215,0.003269,120
13.52548,8.385027,8.38334188391508,0.002169145680433999,0.002005096582022214,-0.010341867462473548,0.003219,123
13.526523,8.385095,8.3833792676607,0.0021662383963763168,0.0020062543383009748,-0.0048815878402878946,0.003178,125
13.527567,8.385135,8.38341680120802,0.0021349901719855107,0.0020069450540452435,0.00022332431843640719,0.003146,128
13.52861,8.38515,8.38345448375319,0.0020784085660132384,0.0020070622828304045,0.004778219192006509,0.00312,130
13.529654,8.385143,8.383492314483432,0.001999501210971706,0.0020065133346365348,0.008875926752436987,0.0031,133
13.530698,8.385116,8.38353029257717,0.0019002758108010093,0.0020052107216387755,0.012226968925889073,0.003084,134
13.531741,8.385075,8.383568417204186,0.0017867401385419498,0.002003077853293373,0.01444204925938296,0.003069,135
13.532785,8.385026,8.383606687525761,0.0016649020340071682,0.00200004160126317,0.01570683065903442,0.003053,136
13.533828,8.384973,8.383645102694828,0.0015387694014586928,0.0019960324410745215,0.01582566590076623,0.003032,136
13.534872,8.384924,8.383683661856121,0.0014163502072773498,0.0019909890466327787,0.014598915758398752,0.003004,136
13.535915,8.384885,8.38372236414632,0.0013036524776563598,0.0019848491810931838,0.012212243097320262,0.002966,134
13.536959,8.384862,8.383761208694196,0.0012066842962789616,0.001977560512195472,0.008659657555102914,0.002915,132
13.538002,8.384861,8.38380019462076,0.0011314538020274153,0.0019690764254625794,0.004126821639194722,0.00285,130
13.539046,8.384886,8.383839321039416,0.0010819691866687997,0.0019593503408754714,-0.0010069532797133483,0.002768,127
13.54009,8.384939,8.383878587056111,0.0010602386925764838,0.0019483451750749985,-0.0064561865687813285,0.002667,125
13.541133,8.385021,8.383917991769483,0.0010672706104452392,0.0019360210105796197,-0.01193439980328913,0.002549,122
13.542177,8.385131,8.383957534271005,0.0011020732770159064,0.0019223639237859176,-0.01686563899096845,0.002412,119
13.54322,8.385264,8.383997213645143,0.0011596550728243075,0.0019073727378459114,-0.02105326408576334,0.002256,117
13.544264,8.385417,8.3840370289695,0.0012370244199493995,0.0018910393954614804,-0.024302631142593678,0.002085,115
13.545307,8.385583,8.38407697931496,0.001327189779778044,0.0018734098228073766,-0.026319277045215996,0.001899,114
